N,exp(-2N),Holevo_Cinf,Dolinar_C1,Kennedy_null,Kennedy_optML,p_null,beta_star,p_star,GG_alpha,GG_beta,GG_K,Kennedy_null_GG,p_null_GG,Kennedy_optML_GG,beta_star_GG,p_star_GG
0.1005034623115578,0.8179067678381389,0.43995367064852176,0.25409728552183686,0.19774470316482234,0.22622167268259197,0.6130620941309811,-0.4802906370935172,0.4295211643534977,4.0,2.0,256.0,0.14505149510184162,0.5934115300016145,0.18203813014330167,-0.5440667644500901,0.4438517570066082
0.11055370854271357,0.8016305668461706,0.46640586591198285,0.27589698954515995,0.21582516629054377,0.2452904204814646,0.6112172150722247,-0.4930141447687027,0.4298365222745903,4.0,2.0,256.0,0.15815463885492934,0.5914781096745017,0.1964781393783405,-0.5591906635576244,0.4452374460164605
0.12060395477386934,0.7856782593945763,0.4912924397187622,0.2971033294254293,0.23360356763942164,0.26387745105645066,0.6093849330770337,-0.5049924086254493,0.43024306903248627,4.0,2.0,256.0,0.17101017625986473,0.5895634932138207,0.21041339483146737,-0.5734709450225807,0.44667665134689666
0.13065420100502512,0.7700434000588033,0.5147517638344612,0.31773095831597375,0.25108166508716784,0.28200290922214755,0.6075656038376867,-0.516332757366706,0.43072380925089293,4.0,2.0,256.0,0.18362025376065683,0.5876680073965301,0.22387193887879137,-0.5862432956116135,0.4480049943898862
0.14070444723618092,0.7547196716771156,0.536902619012721,0.3377942125512632,0.26826129927812353,0.29968478486722183,0.6057595749787016,-0.5271205152967179,0.43126555233636327,4.0,2.0,256.0,0.195987106670592,0.5857919467705291,0.23688452768822432,-0.5977937016448948,0.44924261014391503
0.1507546934673367,0.7397008827981856,0.5578482074416484,0.35730711744393695,0.28514439189546886,0.3169393088954524,0.6039671857540082,-0.5374247425923665,0.43185787098978085,4.0,2.0,256.0,0.20811305449941125,0.5839355743291459,0.24947529092404358,-0.6087046571205287,0.45047385355604747
0.16080493969849247,0.7249809651794793,0.5776791153059718,0.3762833929859084,0.30173294384689275,0.3337812542106821,0.6021887667565887,-0.5473021964771482,0.4324923899700346,4.0,2.0,256.0,0.22000049618319,0.582099122303996,0.2616620664050788,-0.6192073274604745,0.451725449500975
0.17085518592964824,0.7105539713354235,0.5964755508944952,0.3947364594557372,0.3180290333694384,0.3502241690979945,0.6004246396411113,-0.5568001461365918,0.4331622899752905,4.0,2.0,256.0,0.23165190524448212,0.5802827930607433,0.2734633939573835,-0.629060435196966,0.45293881949269016
0.18090543216080401,0.6964140721343628,0.6143090691927462,0.41267944293440195,0.3340348140573937,0.3662805613044717,0.5986751168600394,-0.56595840068065,0.4338619447417377,4.0,2.0,256.0,0.24306982490922002,0.5784867600824654,0.28489750950349635,-0.6383330591312506,0.45411419705535144
0.19095567839195982,0.6825555544433377,0.631243923911933,0.43012518073151984,0.3497525128172543,0.38196204541194245,0.5969405014136716,-0.5748108547387872,0.4345866735486967,4.0,2.0,256.0,0.25425686320557567,0.5767111690257308,0.2959821210845176,-0.6470347584391489,0.45524259485508417
